Lon,Lat
-35.55,-9.949614
-35.45,-9.900362
-35.4,-9.851103
-35.35,-9.801836
-35.3,-9.7525625
-35.25,-9.703281
-35.2,-9.653993
-35.15,-9.604697
-35.1,-9.555395
-35.05,-9.506085
-35.05,-9.456768
-35.0,-9.407444
-34.95,-9.358113
-34.95,-9.308775
-34.9,-9.25943
-34.9,-9.210078
-34.85,-9.16072
-34.85,-9.111354
-34.85,-9.061981
-34.8,-9.012602
-34.75,-8.963216
-34.75,-8.913823
-34.75,-8.864424
-34.75,-8.815018
-34.7,-8.765605
-34.7,-8.716186
-34.7,-8.6667595
-34.7,-8.617328
-34.65,-8.567888
-34.65,-8.518443
-34.65,-8.468991
-34.65,-8.419534
-34.6,-8.370069
-34.6,-8.320599
-34.6,-8.271122
-34.55,-8.221639
-34.5,-8.17215
-34.5,-8.122654
-34.45,-8.073153
-34.45,-8.023645
-34.45,-7.974132
-34.45,-7.9246125
-34.45,-7.8750873
-34.4,-7.825556
-34.4,-7.7760186
-34.4,-7.7264752
-34.35,-7.676926
-34.4,-7.6273713
-34.35,-7.5778112
-34.35,-7.528245
-34.35,-7.478673
-34.4,-7.4290957
-34.4,-7.3795123
-34.4,-7.3299236
-34.4,-7.2803297
-34.4,-7.23073
-34.4,-7.181125
-34.4,-7.1315145
-34.45,-7.0818987
-34.45,-7.032277
-34.45,-6.9826508
-34.5,-6.933019
-34.5,-6.883382
-34.55,-6.8337398
-34.55,-6.7840924
-34.6,-6.73444
-34.6,-6.6847825
-34.65,-6.63512
-34.65,-6.585452
-34.65,-6.5357795
-34.7,-6.486102
-34.7,-6.4364195
-34.7,-6.3867326
-34.7,-6.3370404
-34.75,-6.2873435
-34.8,-6.237642
-34.8,-6.1879354
-34.8,-6.1382246
-34.8,-6.0885086
-34.85,-6.0387883
-34.85,-5.9890637
-34.85,-5.9393344
-34.85,-5.8896008
-34.9,-5.8398623
-34.9,-5.7901196
-34.95,-5.7403727
-34.9,-5.6906214
-34.9,-5.6408653
-34.9,-5.5911055
-34.9,-5.5413413
-34.9,-5.491573
-34.9,-5.4418
-34.9,-5.3920236
-34.9,-5.3422427
-34.9,-5.292458
-34.9,-5.242669
-34.95,-5.1928763
-34.95,-5.1430793
-34.95,-5.093279
-34.95,-5.043474
-35.0,-4.9936657
-35.0,-4.943854
-35.0,-4.8940377
-35.05,-4.8442183
-35.05,-4.794395
-35.1,-4.7445683
-35.15,-4.694738
-35.25,-4.644904
-36.6,-4.5950665
-36.75,-4.545225
-36.85,-4.495381
-36.95,-4.445533
-37.0,-4.395682
-37.05,-4.345827
-37.05,-4.295969
-37.1,-4.246108
-37.15,-4.196244
-37.2,-4.146376
-37.25,-4.096505
-37.3,-4.0466313
-37.35,-3.9967546
-37.4,-3.9468749
-37.45,-3.896992
-37.5,-3.847106
-37.55,-3.7972174
-37.6,-3.7473257
-37.7,-3.697431
-37.7,-3.647534
-37.8,-3.5976338
-37.85,-3.547731
-38.0,-3.4978254
-38.0,-3.4479172
-38.05,-3.3980064
-38.1,-3.348093
-38.1,-3.298177
-38.1,-3.2482586
-38.2,-3.1983376
-38.4,-3.1484144
-38.5,-3.0984886
-38.6,-3.0485604
-38.7,-2.99863
-38.75,-2.9486973
-38.8,-2.8987625
-38.9,-2.8488255
-38.95,-2.798886
-39.05,-2.7489448
-39.05,-2.6990013
-39.1,-2.6490557
-39.15,-2.599108
-39.2,-2.5491586
-39.25,-2.499207
-39.25,-2.4492536
-39.35,-2.3992984
-39.4,-2.3493414
-39.5,-2.2993824
-39.55,-2.2494218
-39.6,-2.1994596
-39.7,-2.1494956
-39.95,-2.09953
-40.15,-2.0495627
-42.5,-1.999594
-42.5,-1.9496237
-42.6,-1.8996519
-42.7,-1.8496786
-42.85,-1.799704
-42.9,-1.749728
-42.9,-1.6997507
-42.95,-1.6497719
-43.05,-1.5997921
-43.1,-1.549811
-43.15,-1.4998287
-43.15,-1.4498452
-43.1,-1.3998607
-43.25,-1.3498751
-43.3,-1.2998885
-43.3,-1.2499008
-43.35,-1.1999122
-43.35,-1.1499227
-43.4,-1.0999324
-43.45,-1.0499412
-43.5,-0.9999492
-43.5,-0.9499565
-43.5,-0.89996296
-43.55,-0.84996885
-43.6,-0.799974
-43.65,-0.7499786
-43.65,-0.6999826
-43.7,-0.6499861
-43.75,-0.59998906
-43.75,-0.54999155
-43.8,-0.49999365
-43.8,-0.44999537
-43.85,-0.39999676
-43.95,-0.34999782
-44.0,-0.29999864
-44.05,-0.24999921
-44.1,-0.1999996
-44.15,-0.14999983
-44.2,-0.09999995
-44.2,-0.049999993
-44.2,0.0
-44.15,0.049999993
-44.15,0.09999995
-44.4,0.14999983
-44.45,0.1999996
-44.6,0.24999921
-44.65,0.29999864
-44.65,0.34999782
-44.85,0.39999676
-45.0,0.44999537
-45.25,0.49999365
-45.35,0.54999155
-45.4,0.59998906
-45.5,0.6499861
-45.55,0.6999826
-45.65,0.7499786
-45.75,0.799974
-45.85,0.84996885
-45.9,0.89996296
-46.0,0.9499565
-46.15,0.9999492
-46.2,1.0499412
-46.25,1.0999324
-46.3,1.1499227
-46.35,1.1999122
-46.4,1.2499008
-46.45,1.2998885
-46.45,1.3498751
-46.5,1.3998607
-46.6,1.4498452
-46.65,1.4998287
-46.7,1.549811
-46.75,1.5997921
-46.8,1.6497719
-46.9,1.6997507
-46.9,1.749728
-46.9,1.799704
-46.95,1.8496786
-46.95,1.8996519
-47.05,1.9496237
-47.1,1.999594
-47.2,2.0495627
-47.25,2.09953
-47.35,2.1494956
-47.35,2.1994596
-47.4,2.2494218
-47.45,2.2993824
-47.45,2.3493414
-47.45,2.3992984
-47.5,2.4492536
-47.55,2.499207
-47.55,2.5491586
-47.6,2.599108
-47.65,2.6490557
-47.7,2.6990013
-47.75,2.7489448
-47.75,2.798886
-47.75,2.8488255
-47.8,2.8987625
-47.85,2.9486973
-47.9,2.99863
-47.95,3.0485604
-47.95,3.0984886
-48.0,3.1484144
-48.0,3.1983376
-48.05,3.2482586
-48.05,3.298177
-48.1,3.348093
-48.15,3.3980064
-48.25,3.4479172
-48.45,3.4978254
-48.45,3.547731
-48.45,3.5976338
-48.45,3.647534
-48.45,3.697431
-48.55,3.7473257
-48.55,3.7972174
-48.6,3.847106
-48.8,3.896992
-48.95,3.9468749
-48.95,3.9967546
-49.15,4.0466313
-49.2,4.096505
-49.2,4.146376
-49.35,4.196244
-49.45,4.246108
-49.75,4.295969
-49.8,4.345827
-49.85,4.395682
-49.85,4.445533
-49.95,4.495381
-49.95,4.545225
-49.95,4.5950665
-49.95,4.644904
-50.0,4.694738
-50.05,4.7445683
-50.1,4.794395
-50.1,4.8442183
-50.15,4.8940377
-50.2,4.943854
-51.95,4.943854
-51.85,4.8940377
-51.75,4.8442183
-51.7,4.794395
-51.55,4.7445683
-51.45,4.694738
-51.4,4.644904
-51.3,4.5950665
-51.3,4.545225
-51.25,4.495381
-51.2,4.445533
-51.15,4.395682
-51.1,4.345827
-51.0,4.295969
-50.95,4.246108
-50.9,4.196244
-50.9,4.146376
-50.85,4.096505
-50.85,4.0466313
-50.8,3.9967546
-50.8,3.9468749
-50.75,3.896992
-50.75,3.847106
-50.7,3.7972174
-50.7,3.7473257
-50.7,3.697431
-50.65,3.647534
-50.65,3.5976338
-50.6,3.547731
-50.55,3.4978254
-50.5,3.4479172
-50.45,3.3980064
-50.4,3.348093
-50.35,3.298177
-50.35,3.2482586
-50.3,3.1983376
-50.25,3.1484144
-50.2,3.0984886
-50.15,3.0485604
-50.0,2.99863
-49.9,2.9486973
-49.75,2.8987625
-49.7,2.8488255
-49.6,2.798886
-49.5,2.7489448
-49.5,2.6990013
-49.25,2.6490557
-49.15,2.599108
-49.1,2.5491586
-49.1,2.499207
-49.05,2.4492536
-48.95,2.3992984
-48.9,2.3493414
-48.9,2.2993824
-48.9,2.2494218
-48.9,2.1994596
-48.9,2.1494956
-48.9,2.09953
-48.8,2.0495627
-48.75,1.999594
-48.75,1.9496237
-48.75,1.8996519
-48.7,1.8496786
-48.7,1.799704
-48.65,1.749728
-48.65,1.6997507
-48.6,1.6497719
-48.6,1.5997921
-48.55,1.549811
-48.5,1.4998287
-48.5,1.4498452
-48.5,1.3998607
-48.45,1.3498751
-48.4,1.2998885
-48.4,1.2499008
-48.4,1.1999122
-48.35,1.1499227
-48.3,1.0999324
-48.25,1.0499412
-48.25,0.9999492
-48.25,0.9499565
-48.25,0.89996296
-48.2,0.84996885
-48.15,0.799974
-48.15,0.7499786
-48.15,0.6999826
-48.1,0.6499861
-48.05,0.59998906
-48.0,0.54999155
-48.0,0.49999365
-47.95,0.44999537
-47.95,0.39999676
-47.9,0.34999782
-47.7,0.29999864
-47.65,0.24999921
-47.4,0.1999996
-47.4,0.14999983
-47.35,0.09999995
-47.25,0.049999993
-47.1,0.0
-47.05,-0.049999993
-47.0,-0.09999995
-46.9,-0.14999983
-46.75,-0.1999996
-46.75,-0.24999921
-46.65,-0.29999864
-46.55,-0.34999782
-46.5,-0.39999676
-46.45,-0.44999537
-46.45,-0.49999365
-46.5,-0.54999155
-46.5,-0.59998906
-46.35,-0.6499861
-46.15,-0.6999826
-46.15,-0.7499786
-45.55,-0.799974
-45.45,-0.84996885
-45.3,-0.89996296
-45.15,-0.9499565
-45.1,-0.9999492
-45.05,-1.0499412
-45.0,-1.0999324
-45.05,-1.1499227
-44.4,-1.1999122
-44.15,-1.2499008
-44.1,-1.2998885
-44.05,-1.3498751
-44.0,-1.3998607
-44.0,-1.4498452
-43.95,-1.4998287
-43.95,-1.549811
-43.95,-1.5997921
-43.95,-1.6497719
-43.95,-1.6997507
-43.85,-1.749728
-43.75,-1.799704
-43.7,-1.8496786
-43.7,-1.8996519
-43.7,-1.9496237
-43.65,-1.999594
-43.55,-2.0495627
-43.45,-2.09953
-43.4,-2.1494956
-43.35,-2.1994596
-43.25,-2.2494218
-42.8,-2.2993824
-42.8,-2.3493414
-42.55,-2.3992984
-42.45,-2.4492536
-42.4,-2.499207
-39.75,-2.5491586
-39.75,-2.599108
-39.7,-2.6490557
-39.6,-2.6990013
-39.55,-2.7489448
-39.5,-2.798886
-39.5,-2.8488255
-39.35,-2.8987625
-39.3,-2.9486973
-39.25,-2.99863
-39.15,-3.0485604
-39.05,-3.0984886
-39.0,-3.1484144
-38.95,-3.1983376
-38.9,-3.2482586
-38.85,-3.298177
-38.8,-3.348093
-38.75,-3.3980064
-38.7,-3.4479172
-38.65,-3.4978254
-38.65,-3.547731
-38.65,-3.5976338
-38.2,-3.647534
-38.1,-3.697431
-38.05,-3.7473257
-37.95,-3.7972174
-37.9,-3.847106
-37.85,-3.896992
-37.8,-3.9468749
-37.75,-3.9967546
-37.7,-4.0466313
-37.65,-4.096505
-37.6,-4.146376
-37.5,-4.196244
-37.5,-4.246108
-37.4,-4.295969
-37.35,-4.345827
-37.3,-4.395682
-37.25,-4.445533
-37.15,-4.495381
-37.1,-4.545225
-36.95,-4.5950665
-36.9,-4.644904
-36.8,-4.694738
-36.7,-4.7445683
-36.55,-4.794395
-36.35,-4.8442183
-36.2,-4.8940377
-35.4,-4.943854
-35.35,-4.9936657
-35.3,-5.043474
-35.25,-5.093279
-35.25,-5.1430793
-35.2,-5.1928763
-35.2,-5.242669
-35.15,-5.292458
-35.15,-5.3422427
-35.15,-5.3920236
-35.15,-5.4418
-35.15,-5.491573
-35.15,-5.5413413
-35.1,-5.5911055
-35.1,-5.6408653
-35.1,-5.6906214
-35.15,-5.7403727
-35.1,-5.7901196
-35.05,-5.8398623
-35.05,-5.8896008
-35.1,-5.9393344
-35.05,-5.9890637
-35.05,-6.0387883
-35.0,-6.0885086
-35.0,-6.1382246
-35.0,-6.1879354
-34.95,-6.237642
-34.95,-6.2873435
-34.95,-6.3370404
-34.95,-6.3867326
-34.9,-6.4364195
-34.9,-6.486102
-34.9,-6.5357795
-34.9,-6.585452
-34.85,-6.63512
-34.85,-6.6847825
-34.85,-6.73444
-34.8,-6.7840924
-34.75,-6.8337398
-34.8,-6.883382
-34.75,-6.933019
-34.75,-6.9826508
-34.75,-7.032277
-34.7,-7.0818987
-34.7,-7.1315145
-34.65,-7.181125
-34.65,-7.23073
-34.65,-7.2803297
-34.65,-7.3299236
-34.65,-7.3795123
-34.65,-7.4290957
-34.65,-7.478673
-34.65,-7.528245
-34.7,-7.5778112
-34.7,-7.6273713
-34.75,-7.676926
-34.75,-7.7264752
-34.75,-7.7760186
-34.75,-7.825556
-34.75,-7.8750873
-34.8,-7.9246125
-34.8,-7.974132
-34.8,-8.023645
-34.8,-8.073153
-34.8,-8.122654
-34.8,-8.17215
-34.8,-8.221639
-34.8,-8.271122
-34.85,-8.320599
-34.85,-8.370069
-34.9,-8.419534
-34.9,-8.468991
-34.95,-8.518443
-34.95,-8.567888
-34.95,-8.617328
-34.95,-8.6667595
-35.0,-8.716186
-35.0,-8.765605
-35.0,-8.815018
-35.05,-8.864424
-35.1,-8.913823
-35.1,-8.963216
-35.1,-9.012602
-35.1,-9.061981
-35.15,-9.111354
-35.15,-9.16072
-35.15,-9.210078
-35.2,-9.25943
-35.2,-9.308775
-35.2,-9.358113
-35.25,-9.407444
-35.3,-9.456768
-35.35,-9.506085
