Lon,Lat
13.3,-10.048095
13.3,-9.9988575
13.3,-9.949614
13.25,-9.900362
13.25,-9.851103
13.25,-9.801836
13.2,-9.7525625
13.15,-9.703281
13.15,-9.653993
13.15,-9.604697
13.15,-9.555395
13.15,-9.506085
13.1,-9.456768
13.1,-9.407444
13.1,-9.358113
13.1,-9.308775
13.05,-9.25943
13.0,-9.210078
13.0,-9.16072
12.95,-9.111354
13.0,-9.061981
13.0,-9.012602
13.1,-8.963216
13.1,-8.913823
13.15,-8.864424
13.2,-8.815018
13.35,-8.765605
13.35,-8.716186
13.35,-8.6667595
13.35,-8.617328
13.3,-8.567888
13.3,-8.518443
13.35,-8.468991
13.35,-8.419534
13.35,-8.370069
13.3,-8.320599
13.25,-8.271122
13.25,-8.221639
13.2,-8.17215
13.2,-8.122654
13.15,-8.073153
13.15,-8.023645
13.1,-7.974132
13.1,-7.9246125
13.05,-7.8750873
13.1,-7.825556
13.0,-7.7760186
13.0,-7.7264752
13.0,-7.676926
12.95,-7.6273713
12.95,-7.5778112
12.9,-7.528245
12.9,-7.478673
12.9,-7.4290957
12.85,-7.3795123
12.85,-7.3299236
12.8,-7.2803297
12.8,-7.23073
12.8,-7.181125
12.8,-7.1315145
12.8,-7.0818987
12.75,-7.032277
12.75,-6.9826508
12.75,-6.933019
12.7,-6.883382
12.65,-6.8337398
12.6,-6.7840924
12.55,-6.73444
12.55,-6.6847825
12.5,-6.63512
12.45,-6.585452
12.45,-6.5357795
12.4,-6.486102
12.4,-6.4364195
12.35,-6.3867326
12.35,-6.3370404
12.3,-6.2873435
12.3,-6.237642
12.25,-6.1879354
12.2,-6.1382246
12.5,-6.0885086
12.6,-6.0387883
12.35,-5.9890637
12.3,-5.9393344
12.25,-5.8896008
12.2,-5.8398623
12.15,-5.7901196
12.15,-5.7403727
12.1,-5.6906214
12.1,-5.6408653
12.1,-5.5911055
12.15,-5.5413413
12.15,-5.491573
12.15,-5.4418
12.15,-5.3920236
12.1,-5.3422427
12.1,-5.292458
12.1,-5.242669
12.05,-5.1928763
12.05,-5.1430793
12.0,-5.093279
11.95,-5.043474
11.95,-4.9936657
11.9,-4.943854
11.85,-4.8940377
11.85,-4.8442183
11.8,-4.794395
11.8,-4.7445683
11.75,-4.694738
11.75,-4.644904
11.75,-4.5950665
11.75,-4.545225
11.7,-4.495381
11.65,-4.445533
11.55,-4.395682
11.5,-4.345827
11.45,-4.295969
11.4,-4.246108
11.35,-4.196244
11.3,-4.146376
11.3,-4.096505
11.25,-4.0466313
11.15,-3.9967546
11.1,-3.9468749
11.05,-3.896992
10.95,-3.847106
10.95,-3.7972174
10.95,-3.7473257
10.9,-3.697431
10.85,-3.647534
10.8,-3.5976338
10.75,-3.547731
10.7,-3.4978254
10.65,-3.4479172
10.6,-3.3980064
10.6,-3.348093
10.55,-3.298177
10.5,-3.2482586
10.45,-3.1983376
10.4,-3.1484144
10.35,-3.0984886
10.3,-3.0485604
10.25,-2.99863
10.2,-2.9486973
10.15,-2.8987625
10.05,-2.8488255
10.0,-2.798886
9.9,-2.7489448
9.85,-2.6990013
9.8,-2.6490557
9.8,-2.599108
9.75,-2.5491586
9.7,-2.499207
9.65,-2.4492536
9.55,-2.3992984
9.55,-2.3493414
9.5,-2.2993824
9.5,-2.2494218
9.5,-2.1994596
9.45,-2.1494956
9.4,-2.09953
9.35,-2.0495627
9.3,-1.999594
9.25,-1.9496237
9.25,-1.8996519
9.2,-1.8496786
9.2,-1.799704
9.2,-1.749728
9.2,-1.6997507
9.2,-1.6497719
9.15,-1.5997921
9.15,-1.549811
9.1,-1.4998287
9.05,-1.4498452
9.0,-1.3998607
8.95,-1.3498751
8.95,-1.2998885
8.95,-1.2499008
8.95,-1.1999122
8.9,-1.1499227
8.85,-1.0999324
8.85,-1.0499412
8.8,-0.9999492
8.8,-0.9499565
8.75,-0.89996296
8.75,-0.84996885
8.8,-0.799974
8.9,-0.7499786
9.05,-0.6999826
9.05,-0.6499861
9.1,-0.59998906
9.15,-0.54999155
9.2,-0.49999365
9.2,-0.44999537
9.25,-0.39999676
9.25,-0.34999782
9.25,-0.29999864
9.25,-0.24999921
9.25,-0.1999996
9.25,-0.14999983
9.25,-0.09999995
9.3,-0.049999993
9.3,0.0
9.3,0.049999993
9.25,0.09999995
9.8,0.14999983
9.7,0.1999996
9.55,0.24999921
9.5,0.29999864
9.4,0.34999782
9.4,0.39999676
9.35,0.44999537
9.35,0.49999365
9.55,0.54999155
9.55,0.59998906
9.55,0.6499861
9.55,0.6999826
9.55,0.7499786
