Lon,Lat
-50.0,-9.949614
-50.0,-9.900362
-50.0,-9.851103
-50.0,-9.801836
-50.0,-9.7525625
-50.0,-9.703281
-50.0,-9.653993
-50.0,-9.604697
-50.0,-9.555395
-50.0,-9.506085
-50.0,-9.456768
-50.0,-9.407444
-50.0,-9.358113
-50.0,-9.308775
-50.0,-9.25943
-50.0,-9.210078
-50.0,-9.16072
-50.0,-9.111354
-50.0,-9.061981
-50.0,-9.012602
-50.0,-8.963216
-50.0,-8.913823
-50.0,-8.864424
-50.0,-8.815018
-50.0,-8.765605
-50.0,-8.716186
-50.0,-8.6667595
-50.0,-8.617328
-50.0,-8.567888
-50.0,-8.518443
-50.0,-8.468991
-50.0,-8.419534
-50.0,-8.370069
-50.0,-8.320599
-50.0,-8.271122
-50.0,-8.221639
-50.0,-8.17215
-50.0,-8.122654
-50.0,-8.073153
-50.0,-8.023645
-50.0,-7.974132
-50.0,-7.9246125
-50.0,-7.8750873
-50.0,-7.825556
-50.0,-7.7760186
-50.0,-7.7264752
-50.0,-7.676926
-50.0,-7.6273713
-50.0,-7.5778112
-50.0,-7.528245
-50.0,-7.478673
-50.0,-7.4290957
-50.0,-7.3795123
-50.0,-7.3299236
-50.0,-7.2803297
-50.0,-7.23073
-50.0,-7.181125
-50.0,-7.1315145
-50.0,-7.0818987
-50.0,-7.032277
-50.0,-6.9826508
-50.0,-6.933019
-50.0,-6.883382
-50.0,-6.8337398
-50.0,-6.7840924
-50.0,-6.73444
-50.0,-6.6847825
-50.0,-6.63512
-50.0,-6.585452
-50.0,-6.5357795
-50.0,-6.486102
-50.0,-6.4364195
-50.0,-6.3867326
-50.0,-6.3370404
-50.0,-6.2873435
-50.0,-6.237642
-50.0,-6.1879354
-50.0,-6.1382246
-50.0,-6.0885086
-50.0,-6.0387883
-50.0,-5.9890637
-50.0,-5.9393344
-50.0,-5.8896008
-50.0,-5.8398623
-50.0,-5.7901196
-50.0,-5.7403727
-50.0,-5.6906214
-50.0,-5.6408653
-50.0,-5.5911055
-50.0,-5.5413413
-50.0,-5.491573
-50.0,-5.4418
-50.0,-5.3920236
-50.0,-5.3422427
-50.0,-5.292458
-50.0,-5.242669
-50.0,-5.1928763
-50.0,-5.1430793
-50.0,-5.093279
-50.0,-5.043474
-50.0,-4.9936657
-50.0,-4.943854
-50.0,-4.8940377
-50.0,-4.8442183
-50.0,-4.794395
-50.0,-4.7445683
-50.0,-4.694738
-50.0,-4.644904
-50.0,-4.5950665
-50.0,-4.545225
-50.0,-4.495381
-50.0,-4.445533
-50.0,-4.395682
-50.0,-4.345827
-50.0,-4.295969
-50.0,-4.246108
-50.0,-4.196244
-50.0,-4.146376
-50.0,-4.096505
-50.0,-4.0466313
-50.0,-3.9967546
-50.0,-3.9468749
-50.0,-3.896992
-50.0,-3.847106
-50.0,-3.7972174
-50.0,-3.7473257
-50.0,-3.697431
-50.0,-3.647534
-50.0,-3.5976338
-50.0,-3.547731
-50.0,-3.4978254
-50.0,-3.4479172
-50.0,-3.3980064
-50.0,-3.348093
-50.0,-3.298177
-50.0,-3.2482586
-50.0,-3.1983376
-50.0,-3.1484144
-50.0,-3.0984886
-50.0,-3.0485604
-50.0,-2.99863
-50.0,-2.9486973
-50.0,-2.8987625
-50.0,-2.8488255
-50.0,-2.798886
-50.0,-2.7489448
-50.0,-2.6990013
-50.0,-2.6490557
-50.0,-2.599108
-50.0,-2.5491586
-50.0,-2.499207
-50.0,-2.4492536
-50.0,-2.3992984
-50.0,-2.3493414
-50.0,-2.2993824
-50.0,-2.2494218
-50.0,-2.1994596
-50.0,-2.1494956
-50.0,-2.09953
-50.0,-2.0495627
-50.0,-1.999594
-50.0,-1.9496237
-50.0,-1.8996519
-50.0,-1.8496786
-50.0,-1.799704
-50.0,-1.749728
-50.0,-1.6997507
-50.0,-1.6497719
-50.0,-1.5997921
-50.0,-1.549811
-50.0,-1.4998287
-50.0,-1.4498452
-50.0,-1.3998607
-50.0,-1.3498751
-50.0,-1.2998885
-50.0,-1.2499008
-50.0,-1.1999122
-50.0,-1.1499227
-50.0,-1.0999324
-50.0,-1.0499412
-50.0,-0.9999492
-50.0,-0.9499565
-50.0,-0.89996296
-50.0,-0.84996885
-50.0,-0.799974
-50.0,-0.7499786
-50.0,-0.6999826
-50.0,-0.6499861
-50.0,-0.59998906
-50.0,-0.54999155
-50.0,-0.49999365
-50.0,-0.44999537
-50.0,-0.39999676
-50.0,-0.34999782
-50.0,-0.29999864
-50.0,-0.24999921
-50.0,-0.1999996
-50.0,-0.14999983
-50.0,-0.09999995
-50.0,-0.049999993
-50.0,0.0
-50.0,0.049999993
-50.0,0.09999995
-50.0,0.14999983
-50.0,0.1999996
-50.0,0.24999921
-50.0,0.29999864
-50.0,0.34999782
-50.0,0.39999676
-50.0,0.44999537
-50.0,0.49999365
-50.0,0.54999155
-50.0,0.59998906
-50.0,0.6499861
-50.0,0.6999826
-50.0,0.7499786
-50.0,0.799974
-50.0,0.84996885
-50.0,0.89996296
-50.0,0.9499565
-50.0,0.9999492
-50.0,1.0499412
-50.0,1.0999324
-50.0,1.1499227
-50.0,1.1999122
-50.0,1.2499008
-50.0,1.2998885
-50.0,1.3498751
-50.0,1.3998607
-50.0,1.4498452
-50.0,1.4998287
-50.0,1.549811
-50.0,1.5997921
-50.0,1.6497719
-50.0,1.6997507
-50.0,1.749728
-50.0,1.799704
-50.0,1.8496786
-50.0,1.8996519
-50.0,1.9496237
-50.0,1.999594
-50.0,2.0495627
-50.0,2.09953
-50.0,2.1494956
-50.0,2.1994596
-50.0,2.2494218
-50.0,2.2993824
-50.0,2.3493414
-50.0,2.3992984
-50.0,2.4492536
-50.0,2.499207
-50.0,2.5491586
-50.0,2.599108
-50.0,2.6490557
-50.0,2.6990013
-50.0,2.7489448
-50.0,2.798886
-50.0,2.8488255
-50.0,2.8987625
-50.0,2.9486973
-50.0,2.99863
-50.0,3.0485604
-50.0,3.0984886
-50.0,3.1484144
-50.0,3.1983376
-50.0,3.2482586
-50.0,3.298177
-50.0,3.348093
-50.0,3.3980064
-50.0,3.4479172
-50.0,3.4978254
-50.0,3.547731
-50.0,3.5976338
-50.0,3.647534
-50.0,3.697431
-50.0,3.7473257
-50.0,3.7972174
-50.0,3.847106
-50.0,3.896992
-50.0,3.9468749
-50.0,3.9967546
-50.0,4.0466313
-50.0,4.096505
-50.0,4.146376
-50.0,4.196244
-50.0,4.246108
-50.0,4.295969
-50.0,4.345827
-50.0,4.395682
-50.0,4.445533
-50.0,4.495381
-50.0,4.545225
-50.0,4.5950665
-50.0,4.644904
-49.95,4.644904
-49.95,4.5950665
-49.95,4.545225
-49.95,4.495381
-49.85,4.445533
-49.85,4.395682
-49.8,4.345827
-49.75,4.295969
-49.45,4.246108
-49.35,4.196244
-49.2,4.146376
-49.2,4.096505
-49.15,4.0466313
-48.95,3.9967546
-48.95,3.9468749
-48.8,3.896992
-48.6,3.847106
-48.55,3.7972174
-48.55,3.7473257
-48.45,3.697431
-48.45,3.647534
-48.45,3.5976338
-48.45,3.547731
-48.45,3.4978254
-48.45,3.4479172
-48.4,3.3980064
-48.45,3.348093
-48.45,3.298177
-48.05,3.2482586
-48.0,3.1983376
-48.0,3.1484144
-47.95,3.0984886
-47.95,3.0485604
-47.9,2.99863
-47.85,2.9486973
-47.8,2.8987625
-47.75,2.8488255
-47.75,2.798886
-47.75,2.7489448
-47.7,2.6990013
-47.65,2.6490557
-47.6,2.599108
-47.55,2.5491586
-47.55,2.499207
-47.5,2.4492536
-47.45,2.3992984
-47.45,2.3493414
-47.45,2.2993824
-47.4,2.2494218
-47.35,2.1994596
-47.35,2.1494956
-47.25,2.09953
-47.2,2.0495627
-47.1,1.999594
-47.05,1.9496237
-46.95,1.8996519
-46.95,1.8496786
-46.9,1.799704
-46.9,1.749728
-46.9,1.6997507
-46.8,1.6497719
-46.75,1.5997921
-46.7,1.549811
-46.65,1.4998287
-46.6,1.4498452
-46.5,1.3998607
-46.45,1.3498751
-46.45,1.2998885
-46.4,1.2499008
-46.35,1.1999122
-46.3,1.1499227
-46.25,1.0999324
-46.2,1.0499412
-46.15,0.9999492
-46.0,0.9499565
-45.9,0.89996296
-45.85,0.84996885
-45.75,0.799974
-45.65,0.7499786
-45.55,0.6999826
-45.5,0.6499861
-45.4,0.59998906
-45.35,0.54999155
-45.25,0.49999365
-45.0,0.44999537
-44.85,0.39999676
-44.65,0.34999782
-44.65,0.29999864
-44.6,0.24999921
-45.25,0.1999996
-45.2,0.14999983
-44.3,0.09999995
-44.15,0.049999993
-44.2,0.0
-44.2,-0.049999993
-44.2,-0.09999995
-44.15,-0.14999983
-44.1,-0.1999996
-44.05,-0.24999921
-44.0,-0.29999864
-43.95,-0.34999782
-43.85,-0.39999676
-43.8,-0.44999537
-43.8,-0.49999365
-43.75,-0.54999155
-43.75,-0.59998906
-43.7,-0.6499861
-43.65,-0.6999826
-43.65,-0.7499786
-43.6,-0.799974
-43.55,-0.84996885
-43.5,-0.89996296
-43.5,-0.9499565
-43.5,-0.9999492
-43.45,-1.0499412
-43.4,-1.0999324
-43.35,-1.1499227
-43.35,-1.1999122
-43.3,-1.2499008
-43.3,-1.2998885
-43.25,-1.3498751
-43.1,-1.3998607
-43.15,-1.4498452
-43.15,-1.4998287
-43.1,-1.549811
-43.05,-1.5997921
